NAME,8",16",24",32",40",48",96",PS,B,AMMUNITION,"SAVING ROLL ATTRIBUTE","NUMBER OF SAVING ROLLS",TRAITS
"AP CC WEAPON",,,,,,,,8,1,AP,ARM/2,1,"CC."
"AP+DA CC WEAPON",,,,,,,,8,1,AP+DA,ARM/2,2,"ANTI-MATERIEL, CC."
"AP+EXP CC WEAPON",,,,,,,,8,1,AP+EXP,ARM/2,3,"ANTI-MATERIEL, CC."
"AP+SHOCK CC WEAPON",,,,,,,,8,1,AP+SHOCK,ARM/2,1,"CC."
"AP+T2 CC WEAPON",,,,,,,,8,1,AP+T2,ARM/2,1,"ANTI-MATERIEL, CC.."
"CC WEAPON",,,,,,,,8,1,N,ARM,1,"CC."
"DA CC WEAPON",,,,,,,,8,1,DA,ARM,2,"ANTI-MATERIEL, CC."
"E/M CC WEAPON",,,,,,,,8,1,N+E/M,BTS/2,2,"CC, [**]."
"EXP CC WEAPON",,,,,,,,8,1,EXP,ARM,3,"ANTI-MATERIEL, CC."
"MONOFILAMENT CC WEAPON",,,,,,,,8,1,N,ARM=0,1,"CC, State: DEAD."
"PARA CC WEAPON",,,,,,,,--,1,PARA,PH-6,1,"CC, State: IMMOBILIZED-A, NON-LETHAL."
"SHOCK CC WEAPON",,,,,,,,8,1,SHOCK,ARM,1,"CC."
"T2 CC WEAPON",,,,,,,,8,1,T2,ARM,1,"ANTI-MATERIEL, CC.."
"TRENCH-HAMMER (BS Mode)",0,null,null,null,null,null,null,6,1,DA,ARM,2,"ANTI-MATERIEL, BS WEAPON (PH), DISPOSABLE (3), [*]."
"TRENCH-HAMMER (CC Mode)",,,,,,,,6,1,DA,ARM,2,"ANTI-MATERIEL, CC, DISPOSABLE (3), [*]."
"VIRAL CC WEAPON",,,,,,,,8,1,N,BTS,1,"BIOWEAPON (DA+SHOCK), CC."
"VORPAL CC WEAPON (BS Mode)",+3,null,null,null,null,null,null,8,1,N,ARM=0,1,"BS WEAPON (PH), State: DEAD, [*]."
"VORPAL CC WEAPON (CC Mode)",,,,,,,,8,1,N,ARM=0,1,"CC, State: DEAD, [*]."
