NAME,MODE,8",16",24",32",40",48",96",PS,B,AMMUNITION,"SAVING ROLL ATTRIBUTE","NUMBER OF SAVING ROLLS",TRAITS
"AP MINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,7,1,AP,ARM/2,1,"INTUITIVE ATTACK, CONCEALED, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, [*]"
"CHEST MINES",CC,,,,,,,,7,1,SHOCK,ARM,1,"CC ATTACK (+3), DISPOSABLE (2), [*]"
"CHEST MINES",BS,,,,,,,,7,1,SHOCK,ARM,1,"INTUITIVE ATTACK, DISPOSABLE (2), DOUBLE SHOT, DIRECT TEMPLATE (SMALL TEARDROP), [*]"
"CYBERMINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,5,1,--,BTS,2,"COMMS ATTACK, INTUITIVE ATTACK, CONCEALED, DISPOSABLE (3), State: STUNNED/IMMOBILIZED-B, NON-LETHAL, DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, [*]"
"DROP BEARS",BS,+3,-3,null,null,null,null,null,,1,,,,"BS WEAPON (PH), SPECULATIVE ATTACK, DISPOSABLE (3), TARGETLESS, [*]"
"DROP BEARS",Deployable,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,7,1,SHOCK,ARM,1,"INTUITIVE ATTACK, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, [*]"
"E/M MINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,7,1,E/M,BTS/2,2,"INTUITIVE ATTACK, CONCEALED, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), NON-LETHAL, DEPLOYABLE, [**]"
"MINE DISPENSER",,0,+3,-3,-6,-6,-6,null,1,,,,,"SPECULATIVE ATTACK, DOUBLE SHOT, DISPOSABLE (2), TARGETLESS, [*]"
"MONOFILAMENT MINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,8,1,N,ARM=0,1,"INTUITIVE ATTACK, CONCEALED, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, State: DEAD, [*]"
"PARA MINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,--,1,PARA,PH-6,1,"INTUITIVE ATTACK, CONCEALED, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), NON-LETHAL, DEPLOYABLE, [*]"
"SHOCK MINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,7,1,SHOCK,ARM,1,"INTUITIVE ATTACK, CONCEALED, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, [*]"
"VIRAL MINES",,ARM=0 | BTS=0 | STR=1 | S=0,,,,,,,7,1,N,BTS,1,"INTUITIVE ATTACK, BIOWEAPON (DA+SHOCK), CONCEALED, DISPOSABLE (3), DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, [*]"
"WILDPARROT",,ARM=0 | BTS=0 | STR=1 | S=1,,,,,,,7,1,E/M,BTS/2,2,"INTUITIVE ATTACK, DISPOSABLE (1), NON-LETHAL, PERIMETER, DIRECT TEMPLATE (SMALL TEARDROP), DEPLOYABLE, [*]"
