NAME,MODE,8",16",24",32",40",48",96",PS,B,AMMUNITION,"SAVING ROLL ATTRIBUTE","NUMBER OF SAVING ROLLS",TRAITS
"AP HEAVY PISTOL",,+3,0,-6,null,null,null,null,6,2,AP,ARM/2,1,""
"ASSAULT PISTOL",,+3,0,-6,null,null,null,null,7,4,N,ARM,1,""
"BOARDING PISTOL",Blast,,,,,,,,7,1,N,ARM,1,"INTUITIVE ATTACK, DIRECT TEMPLATE (SMALL TEARDROP)"
"BOARDING PISTOL",Hit,+3,0,-6,null,null,null,null,7,2,N,ARM,1,""
"BREAKER PISTOL",,+3,0,-6,null,null,null,null,8,2,AP,BTS/2,1,""
"HEAVY PISTOL",,+3,0,-6,null,null,null,null,6,2,SHOCK,ARM,1,""
"KOBRA PISTOL",BS,+3,0,-6,null,null,null,null,7,2,N,ARM,1,"[*]"
"KOBRA PISTOL",CC,,,,,,,,7,1,SHOCK,ARM,1,"CC, [*]"
"MULTI PISTOL",Anti-Materiel,+3,0,-6,null,null,null,null,7,1,DA,ARM,2,"ANTI-MATERIEL"
"MULTI PISTOL",AP,+3,0,-6,null,null,null,null,7,2,AP,ARM/2,1,""
"MULTI PISTOL",Shock,+3,0,-6,null,null,null,null,7,2,SHOCK,ARM,1,""
"PISTOL",,+3,0,-6,null,null,null,null,9,2,N,ARM,1,""
"SILENCED PISTOL",,+3,0,-6,null,null,null,null,8,2,AP+SHOCK,BTS/2,1,"SILENT (-6)"
"STUN PISTOL",,+3,0,-6,null,null,null,null,8,2,STUN,BTS,1,"NON-LETHAL, State: STUNNED"
"VIRAL PISTOL",,+3,0,-6,null,null,null,null,8,2,N,BTS,1,"BIOWEAPON (DA+SHOCK)"
