NAME,8",16",24",32",40",48",96",PS,B,AMMUNITION,"SAVING ROLL ATTRIBUTE","NUMBER OF SAVING ROLLS",TRAITS
"ADHESIVE LAUNCHER RIFLE",0,+3,-3,-3,-6,-6,null,null,2,PARA,PH-6,1,NON-LETHAL
"AP RIFLE",0,+3,-3,-3,-6,-6,null,7,3,AP,ARM/2,1,"SUPPRESSIVE FIRE"
"BREAKER COMBI RIFLE",+3,+3,-3,-3,-6,-6,null,7,3,AP,BTS/2,1,"SUPPRESSIVE FIRE"
"BREAKER RIFLE",0,+3,-3,-3,-6,-6,null,7,3,AP,BTS/2,1,"SUPPRESSIVE FIRE"
"COMBI RIFLE",+3,+3,-3,-3,-6,-6,null,7,3,N,ARM,1,"SUPPRESSIVE FIRE"
"K1 COMBI RIFLE",+3,+3,-3,-3,-6,-6,null,7,3,N,ARM=0,1,"ANTI-MATERIEL, SUPPRESSIVE FIRE"
"MULTI RIFLE (Anti-Materiel Mode)",+3,+3,-3,-3,-6,-6,null,7,1,DA,ARM,2,"ANTI-MATERIEL"
"MULTI RIFLE (AP Mode)",+3,+3,-3,-3,-6,-6,null,7,3,AP,ARM/2,1,"SUPPRESSIVE FIRE"
"MULTI RIFLE (Shock Mode)",+3,+3,-3,-3,-6,-6,null,7,3,SHOCK,ARM,1,"SUPPRESSIVE FIRE"
"PLASMA RIFLE (Blast Mode)",+3,+3,-3,-3,-6,-6,null,7,3,N,ARM and BTS,1 and 1,"SUPPRESSIVE FIRE, IMPACT TEMPLATE (CIRCULAR)"
"PLASMA RIFLE (Hit Mode)",+3,+3,-3,-3,-6,-6,null,6,3,N,ARM and BTS,1 and 1,"SUPPRESSIVE FIRE"
"RIFLE",0,+3,-3,-3,-6,-6,null,7,3,N,ARM,1,"SUPPRESSIVE FIRE"
"T2 RIFLE",0,+3,-3,-3,-6,-6,null,7,3,T2,ARM,1,"ANTI-MATERIEL, SUPPRESSIVE FIRE"
"VIRAL COMBI RIFLE",+3,+3,-3,-3,-6,-6,null,7,3,N,BTS,1,"BIOWEAPON (DA+SHOCK), SUPPRESSIVE FIRE"
"VIRAL RIFLE",0,+3,-3,-3,-6,-6,null,7,3,N,BTS,1,"BIOWEAPON (DA+SHOCK), SUPPRESSIVE FIRE"
