NAME,MODE,8",16",24",32",40",48",96",PS,B,AMMUNITION,"SAVING ROLL ATTRIBUTE","NUMBER OF SAVING ROLLS",TRAITS
"AP SNIPER RIFLE",,-3,0,+3,+3,+3,+3,-3,5,2,AP,ARM/2,1,""
"K1 SNIPER RIFLE",,-3,0,+3,+3,+3,+3,-3,7,2,N,ARM=0,1,"ANTI-MATERIEL"
"MULTI SNIPER RIFLE",AP,-3,0,+3,+3,+3,+3,-3,5,2,AP,ARM/2,1,""
"MULTI SNIPER RIFLE",Shock,-3,0,+3,+3,+3,+3,-3,5,2,SHOCK,ARM,1,""
"MULTI SNIPER RIFLE",Anti-Materiel,-3,0,+3,+3,+3,+3,-3,5,2,DA,ARM,2,"ANTI-MATERIEL"
"PLASMA SNIPER RIFLE",Blast,-3,0,+3,+3,+3,+3,-3,6,2,N,ARM and BTS,1 and 1,"IMPACT TEMPLATE (CIRCULAR)"
"PLASMA SNIPER RIFLE",Hit,-3,0,+3,+3,+3,+3,-3,5,2,N,ARM and BTS,1 and 1,""
"SNIPER RIFLE",,-3,0,+3,+3,+3,+3,-3,5,2,SHOCK,ARM,1,""
"T2 SNIPER RIFLE",,-3,0,+3,+3,+3,+3,-3,5,2,T2,ARM,1,"ANTI-MATERIEL"
"VIRAL SNIPER RIFLE",,-3,0,+3,+3,+3,+3,-3,5,2,N,BTS,1,"BIOWEAPON (DA+SHOCK)"
